"glytoucan_ac","glytoucan_type","glycan_mass","glycan_permass","base_composition","composition","topology","monosaccharides","is_motif"
"G82524QD","Saccharide","268.07943223","366.18898272","G09675FZ","","G37442BS","1","False"
"G82526KT","Saccharide","707.248407805","903.467508785","G08590QR","G40866TN","G10012HK","4","False"
"G82528GQ","Topology","908.31213034","1146.57818153","G72407HD","G95622IR","G82528GQ","4","False"
"G82529OA","Saccharide","1558.53907441","1964.99292644","G31852PQ","G45552IY","G53733WF","9","False"
"G82531JQ","Saccharide","2356.87730027","2931.51895314","","G06335JR","G46640OD","13","False"
"G82536GA","Topology","2441.85729313","3044.53024613","G35885RD","G16787JY","G82536GA","12","False"
"G82537KA","Saccharide","586.22213341","740.39428418","G58001LT","G59848RU","G96325JJ","3","False"
"G82537NK","Composition","2676.95164713","3321.67155035","G38105GM","G82537NK","","14","False"
"G82540VC","Saccharide","1519.56589823","1883.97280004","G69222XZ","G96281OZ","G51222TM","8","False"
"G82556YC","Saccharide","1566.55539315","1958.99359511","G12456LJ","G11339YA","G93257MA","8","False"
"G82557QP","Saccharide","4326.5805396","5335.70734464","G98129ME","G03400DV","G03126PB","24","False"
"G82558IX","Topology","707.248407805","903.467508785","G08590QR","G53509NM","G82558IX","4","False"
"G82562YG","Saccharide","164.06847357","220.13107385","G02438LG","G28820LZ","G25787TL","1","False"
"G82564EX","Topology","2135.78736296","2640.35076549","G29651HS","G45751MB","G82564EX","12","False"
"G82572CY","Saccharide","1026.37512458","1278.65682584","G95440AJ","G50312CA","G32026FA","6","False"
"G82572FN","Saccharide","2370.85656483","2945.4982177","G88633YS","G57860PF","G47246AJ","13","False"
"G82576YO","Topology","164.06847357","220.13107385","G02438LG","G49112ZN","G82576YO","1","False"
"G82591EC","Saccharide","776.23348603","972.45258701","G33623LN","G67281OF","G79930EZ","4","False"
"G82591UC","Topology","2766.98334123","3439.73454459","G20998ZT","G77842WM","G82591UC","15","False"
"G82592ZH","BaseComposition","2014.76108857","2477.27754088","G82592ZH","","","11","False"
"G82593BX","Topology","2078.76589923","2569.31365168","G87051GH","G72191MQ","G82593BX","12","False"
"G82594YX","Saccharide","3099.10530697","3841.93476068","G95517DQ","G40992GJ","G86140QM","16","False"
"G82605IU","Saccharide","1259.46506188","1567.80936342","G80475RE","G09140IH","G95184RD","7","False"
"G82621TY","Saccharide","1697.61363636","2132.09878853","","G85394YL","G32989SG","8","False"
"G82622JD","Saccharide","2044.69754491","2577.29224757","G83460ZZ","G91301DM","G27502BJ","12","False"
"G82622SS","Saccharide","2192.8088267","2711.38787929","G69364JQ","G95640AM","G01514YB","12","False"
"G82635ZC","Composition","2425.8623785","3014.51968144","G92821OG","G82635ZC","","12","False"
"G82638RK","Saccharide","1289.43924107","1625.81484275","G77976VJ","G39632CM","G68514DJ","6","False"
"G82639DV","Saccharide","666.2218587","862.44095968","G90306QO","G65968NT","G93472KA","4","False"
"G82639GQ","Saccharide","3722.32268935","4605.30864376","G63850ZW","G39306TC","G18870PA","18","False"
"G82644AX","Topology","924.30704497","1176.58874623","G82688EZ","G49551WD","G82644AX","4","False"
"G82648IS","Saccharide","1517.51252531","1923.96637734","G82985VK","G89621BX","G04689ZO","9","False"
"G82648TN","Topology","2500.91955907","3089.57686201","G05049IC","G45978IP","G82648TN","14","False"
"G82650KN","Topology","1478.53934912","1842.94625094","G72787SB","","G82650KN","8","False"
"G82651UV","Topology","830.24742157","1026.46652255","","G60423RL","G82651UV","4","False"
"G82651VW","Topology","4046.42833634","5013.50819118","G22870HL","G55455VT","G82651VW","20","False"
"G82653TK","Composition","2391.65272136","2868.18482374","G57269FM","G82653TK","","12","False"
"G82662IE","Saccharide","666.2218587","862.44095968","G90306QO","G88288TV","G93921SI","4","False"
"G82664ZC","Saccharide","1827.6766306","2262.16178277","G68318VE","G80294ZS","G35819MK","10","False"
"G82675BX","Saccharide","2192.8088267","2711.38787929","G69364JQ","G02253SS","G24599RJ","12","False"
"G82680EC","Saccharide","1462.54443449","1812.93568624","G25987BV","G69032VE","G25250YO","8","False"
"G82688EZ","BaseComposition","924.30704497","1176.58874623","G82688EZ","","","4","False"
"G82688JB","Topology","979.312858635","1217.57890982","G13436HZ","G25958WS","G82688JB","5","False"
"G82690UI","Saccharide","910.32778041","1148.5938316","G28681TP","G71678CK","G17271TR","5","False"
"G82691HV","Topology","2588.9356031","3205.62420618","G72601ZT","G49241TZ","G82691HV","14","False"
"G82693UO","Topology","513.205755045","639.346605675","G27292ZV","G49556DN","G82693UO","3","False"
"G82693YI","Saccharide","1404.50256965","1754.8938214","G49155EM","G39515IW","G04415RA","7","False"
"G82695BC","Saccharide","1566.55539315","1958.99359511","G12456LJ","G11339YA","G67764QM","8","False"
"G82698QQ","Saccharide","935.359414885","1159.609816","G21259PI","G17631NW","G25650TV","5","False"
"G82699CV","Topology","896.34851585","1134.61456704","","G42231PV","G82699CV","5","False"
"G82699NN","Saccharide","2370.85656483","2945.4982177","G88633YS","G57860PF","","13","False"
"G82700SN","Saccharide","1468.46446961","1790.82442122","G75137WM","G99447SO","G67731YT","7","False"
"G82701UX","Saccharide","1786.65008149","2221.13523366","G83555HU","G10567NI","","10","False"
"G82702MH","Composition","551.115619425","677.256470055","G42928BB","G82702MH","","2","False"
"G82704VJ","Saccharide","1348.50150702","1670.86145863","G18081HD","G05076OF","G55820DG","8","False"
"G82715TT","Topology","1884.69809433","2333.19889657","G81098PF","G11853YG","G82715TT","10","False"
"G82718YC","Composition","3220.08867066","3948.90247431","G38376CI","G82718YC","","16","False"
"G82718YV","Topology","1558.49616371","1908.88741546","G92119WG","G05957DR","G82718YV","8","False"
"G82719GT","Saccharide","1519.56589823","1883.97280004","G69222XZ","G96281OZ","G62257HU","8","False"
"G82724NW","Saccharide","2296.81978536","2857.44578816","G52478RN","G52223PR","G16809VD","12","False"
"G82724OR","Topology","1884.69809433","2347.21454664","","G81357YZ","G82724OR","9","False"
"G82725FS","Saccharide","732.28004228","914.48349319","G94583DZ","G97803FU","G25347ZR","4","False"
"G82727OW","Saccharide","1729.62861776","2150.09811986","G27622TD","G26591JV","G91689NU","10","False"
"G82728DG","Saccharide","2192.8088267","2711.38787929","G69364JQ","G95640AM","","12","False"
"G82730QA","Saccharide","2879.01061863","3579.79312213","G98715EM","G58318SA","G26085RC","14","False"
"G82738YL","Composition","2688.00401705","3304.69262013","G24202RA","G82738YL","","15","False"
"G82739ZR","Saccharide","545.195584305","699.367735075","G52963ZW","G96927TT","G43632MM","3","False"
"G82740LG","","","","","","","","False"
"G82746GL","Saccharide","529.200669675","669.357170375","G54129SE","G02497EU","G81221PX","3","False"
"G82746VF","Saccharide","1056.38568928","1322.68304061","G20956ZV","G51706ER","G70043YJ","6","False"
"G82748UB","Saccharide","1152.3803292","1474.74028081","G55913GS","G01190ZZ","G14617GC","7","False"
"G82749VY","Saccharide","383.142760805","495.267961365","G43417UB","G08749AK","G18831TI","2","False"
